player_name,over,min_runs,max_runs,avg_runs
AUK Pathan,19,2,2,2.0
Abdul Basith,19,1,1,1.0
Abdul Samad,0,2,2,2.0
Abdul Samad,6,4,4,4.0
Abdul Samad,7,2,2,2.0
Abdul Samad,8,2,8,4.25
Abdul Samad,9,0,2,0.5
Abdul Samad,10,0,5,1.8
Abdul Samad,11,0,7,2.5714285714285716
Abdul Samad,12,0,8,2.4166666666666665
Abdul Samad,13,0,9,3.25
Abdul Samad,14,0,15,4.352941176470588
Abdul Samad,15,0,12,3.5
Abdul Samad,16,0,13,4.130434782608695
Abdul Samad,17,0,15,4.2
Abdul Samad,18,0,24,5.7894736842105265
Abdul Samad,19,0,17,5.6923076923076925
Abdur Razzak,18,0,0,0.0
Abhishek Sharma,0,0,12,2.710526315789474
Abhishek Sharma,1,0,26,4.972972972972973
Abhishek Sharma,2,0,19,5.178571428571429
Abhishek Sharma,3,0,13,4.384615384615385
Abhishek Sharma,4,0,19,4.958333333333333
Abhishek Sharma,5,0,20,7.578947368421052
Abhishek Sharma,6,1,19,4.2631578947368425
Abhishek Sharma,7,0,13,4.5
Abhishek Sharma,8,0,8,3.1176470588235294
Abhishek Sharma,9,0,20,6.0
Abhishek Sharma,10,0,9,2.8
